Transaction date,Merchant name,Distribution Cost Centre,Expense Type,Billed amount
16-Feb-16,EVENIUM         4533684  75PARIS 9    ,85210,Training and Educational,859.5
09-Feb-16,ONE LOMBARD STREET       LONDON       ,85110,1358 - Hospitality,993.14
03-Feb-16,PEMBROKESHIRE AGRI       HAVERFORDWEST,85721,2449 - Project Programme Expenditure,695.57
10-Feb-16,ST DAVIDS HOTEL AND SPA  CARDIFF      ,85721,1942 - Conference & meeting facilities,4999
10-Feb-16,ST DAVIDS HOTEL AND SPA  CARDIFF      ,85721,1090 - Subsistence 24 hour subsistence,575
10-Feb-16,ST DAVIDS HOTEL AND SPA  CARDIFF      ,85721,1090 - Subsistence 24 hour subsistence,924.85
03-Feb-16,F P EXECUTIVE AGENCY L   BURY         ,85543,1554 - Postal Charges,651.42
16-Feb-16,BMF BUSINESS SERVICES LTD02892619933  ,85820,2449 - Project Programme Expenditure,2997
16-Feb-16,BMF BUSINESS SERVICES LTD02892619933  ,85820,2449 - Project Programme Expenditure,2997
16-Feb-16,MZ CONGRESSI SRL         MILANO       ,85412,Training and Educational,682.15
19-Feb-16,TWITTER ADVERTISING      TWITTER.COM  ,85250,1390 - Publicity charges,600
10-Feb-16,TWITTER ADVERTISING      TWITTER.COM  ,85250,1390 - Publicity charges,657.94
16-Feb-16,FACEBOOK RU9ZY8STD2      www.fb.me/ads,85250,1390 - Publicity charges,1509.16
18-Feb-16,TWITTER ADVERTISING      TWITTER.COM  ,85250,1390 - Publicity charges,670
20-Feb-16,TWITTER ADVERTISING      TWITTER.COM  ,85250,1390 - Publicity charges,530
19-Feb-16,MSFT  <E05001WR03>       0344 800 2400,85541,1586 - IT Software Licences,4320
10-Feb-16,WWW.THEKNOWLEDGEACADEM   01344203995  ,85544,1320 - Staff training: Region & HQ Admin,987.47
01-Feb-16,URDD GOBAITH CYMRU       BALA         ,85721,2449 - Project Programme Expenditure,2745.6
22-Feb-16,CAMPDENBRIC              44138684200  ,85460,1320 - Staff training: Region & HQ Admin,1679.4
20-Feb-16,APPLE KIOSK GBP          0845-600-1683,85541,"1618 - IT consumables(cables,toners etc)",1008.95
16-Feb-16,INDEPENDENT NEWS & MED   CO ANTRIM    ,85820,2449 - Project Programme Expenditure,979.2
05-Feb-16,EVENIUM         4533684  75PARIS 9    ,85150,1320 - Staff training: Region & HQ Admin,850.88
05-Feb-16,CIVIL SERVICE LEARNING,85452,1320 - Training,679.2
11-Feb-16,EISTEDDFOD CYMRU,85721,2249 - Project Programme expenditure,1415.20
